iter	Passed	Remaining
408	5639	8149
409	5653	8135
410	5667	8121
411	5681	8108
412	5696	8096
413	5710	8083
414	5724	8069
415	5737	8054
416	5749	8038
417	5762	8024
418	5774	8007
419	5787	7992
420	5799	7976
421	5813	7962
422	5826	7947
423	5840	7934
424	5853	7919
425	5865	7903
426	5877	7887
427	5890	7872
428	5903	7857
429	5916	7843
430	5929	7827
431	5942	7812
432	5955	7798
433	5974	7792
434	5988	7778
435	6002	7764
436	6016	7750
437	6030	7738
438	6044	7724
439	6057	7709
440	6071	7696
441	6086	7683
442	6099	7669
443	6113	7655
444	6126	7641
445	6140	7627
446	6155	7615
447	6169	7601
448	6184	7589
449	6199	7577
450	6212	7562
451	6226	7549
452	6240	7534
453	6253	7520
454	6267	7507
455	6281	7494
456	6295	7480
457	6309	7467
458	6324	7454
459	6340	7443
460	6355	7430
461	6369	7417
462	6385	7405
463	6399	7391
464	6414	7380
465	6427	7365
466	6441	7351
467	6456	7339
468	6470	7326
469	6485	7313
470	6499	7299
471	6512	7284
472	6525	7270
473	6539	7257
474	6554	7244
475	6566	7229
476	6579	7214
477	6592	7199
478	6604	7183
479	6618	7169
480	6630	7154
481	6643	7139
482	6656	7125
483	6670	7111
484	6683	7097
485	6698	7084
486	6711	7069
487	6724	7054
488	6739	7042
489	6759	7035
490	6785	7033
491	6802	7023
492	6818	7012
493	6835	7001
494	6852	6990
495	6870	6981
496	6885	6968
497	6900	6956
498	6927	6955
499	6958	6958
500	6993	6965
501	7011	6955
502	7028	6944
503	7045	6933
504	7061	6921
505	7075	6907
506	7090	6894
507	7104	6880
508	7117	6866
509	7132	6852
510	7145	6837
511	7158	6822
512	7171	6808
513	7185	6793
514	7199	6780
515	7215	6768
516	7229	6753
517	7243	6740
518	7258	6726
519	7271	6712
520	7285	6698
521	7298	6683
522	7312	6669
523	7326	6655
524	7340	6641
525	7352	6626
526	7366	6611
527	7381	6598
528	7394	6583
529	7407	6569
530	7422	6555
531	7435	6540
532	7449	6527
533	7464	6513
534	7479	6501
535	7495	6488
536	7509	6474
537	7524	6461
538	7538	6447
539	7551	6432
540	7565	6419
541	7579	6405
542	7593	6391
543	7608	6377
544	7622	6363
545	7637	6350
546	7650	6335
547	7664	6321
548	7678	6307
549	7692	6294
550	7707	6280
551	7720	6265
552	7732	6250
553	7747	6236
554	7760	6222
555	7772	6207
556	7786	6193
557	7800	6178
558	7813	6164
559	7825	6148
560	7839	6134
561	7856	6122
562	7875	6112
563	7892	6101
564	7907	6088
565	7927	6078
566	7944	6067
567	7963	6056
568	7982	6046
569	7999	6034
570	8024	6029
571	8039	6015
572	8052	6001
573	8067	5987
574	8082	5973
575	8095	5959
576	8108	5944
577	8120	5929
578	8134	5914
579	8147	5900
580	8160	5884
581	8173	5870
582	8185	5854
583	8197	5839
584	8209	5823
585	8222	5808
586	8235	5794
587	8249	5780
588	8262	5765
589	8276	5751
590	8289	5736
591	8303	5722
592	8315	5707
593	8329	5693
594	8342	5678
595	8357	5664
596	8370	5650
597	8384	5636
598	8397	5621
599	8410	5607
600	8423	5592
601	8436	5577
602	8448	5562
603	8462	5548
604	8475	5533
605	8490	5519
606	8502	5505
607	8517	5491
608	8529	5476
609	8544	5462
610	8557	5448
611	8570	5433
612	8584	5419
613	8595	5403
614	8609	5389
615	8623	5375
616	8637	5361
617	8652	5348
618	8664	5333
619	8679	5319
620	8694	5306
621	8708	5292
622	8720	5277
623	8733	5262
624	8746	5247
625	8759	5233
626	8773	5219
627	8785	5204
628	8797	5189
629	8809	5173
630	8824	5160
631	8835	5144
632	8847	5129
633	8859	5114
634	8872	5099
635	8884	5084
636	8897	5070
637	8911	5056
638	8924	5041
639	8937	5027
640	8951	5013
641	8965	4999
642	8979	4985
643	8991	4970
644	9003	4955
645	9026	4946
646	9039	4932
647	9053	4917
648	9065	4902
649	9077	4888
650	9090	4873
651	9102	4858
652	9114	4843
653	9129	4830
654	9141	4815
655	9153	4799
656	9166	4785
657	9179	4771
658	9191	4756
659	9205	4742
660	9219	4728
661	9233	4714
662	9247	4700
663	9260	4686
664	9272	4671
665	9284	4656
666	9296	4641
667	9309	4626
668	9321	4612
669	9335	4598
670	9348	4583
671	9362	4569
672	9375	4555
673	9389	4541
674	9405	4528
675	9418	4514
676	9432	4500
677	9444	4485
678	9458	4471
679	9472	4457
680	9485	4443
681	9498	4428
682	9513	4415
683	9526	4401
684	9540	4387
685	9556	4374
686	9570	4360
687	9583	4346
688	9596	4331
689	9609	4317
690	9622	4303
691	9636	4289
692	9649	4274
693	9661	4260
694	9675	4246
695	9688	4231
696	9701	4217
697	9715	4203
698	9729	4189
699	9742	4175
700	9755	4160
701	9771	4148
702	9786	4134
703	9800	4120
704	9814	4106
705	9828	4092
706	9843	4079
707	9857	4065
708	9872	4051
709	9885	4037
710	9900	4024
711	9913	4009
712	9926	3995
713	9940	3981
714	9953	3967
715	9966	3953
716	9980	3939
717	9994	3925
718	10006	3910
719	10029	3900
720	10041	3885
721	10057	3872
722	10071	3858
723	10085	3844
724	10098	3830
725	10111	3816
726	10123	3801
727	10137	3787
728	10148	3772
729	10163	3758
730	10175	3744
731	10189	3730
732	10203	3716
733	10218	3703
734	10232	3689
735	10245	3675
736	10259	3661
737	10273	3647
738	10288	3633
739	10304	3620
740	10320	3607
741	10335	3593
742	10350	3580
743	10365	3566
744	10379	3552
745	10393	3538
746	10407	3524
747	10422	3511
748	10436	3497
749	10449	3483
750	10463	3469
751	10477	3455
752	10492	3441
753	10507	3428
754	10521	3414
755	10533	3399
756	10547	3385
757	10561	3371
758	10574	3357
759	10587	3343
760	10601	3329
761	10615	3315
762	10629	3301
763	10643	3287
764	10656	3273
765	10669	3259
766	10684	3245
767	10699	3232
768	10712	3218
769	10725	3203
770	10740	3190
771	10754	3176
772	10768	3162
773	10780	3147
774	10793	3133
775	10808	3119
776	10820	3105
777	10834	3091
778	10846	3077
779	10858	3062
780	10871	3048
781	10886	3034
782	10899	3020
783	10912	3006
784	10925	2992
785	10938	2978
786	10951	2963
787	10964	2949
788	10979	2936
789	10994	2922
790	11012	2909
791	11145	2927
792	11159	2912
793	11174	2899
794	11188	2885
795	11200	2870
796	11212	2855
797	11225	2841
798	11237	2827
799	11249	2812
800	11263	2798
801	11276	2784
802	11289	2769
803	11302	2755
804	11315	2741
805	11328	2726
806	11342	2712
807	11355	2698
808	11368	2683
809	11381	2669
810	11395	2655
811	11409	2641
812	11423	2627
813	11439	2613
814	11451	2599
815	11465	2585
816	11478	2571
817	11491	2556
818	11505	2542
819	11521	2529
820	11535	2515
821	11549	2501
822	11564	2487
823	11579	2473
824	11593	2459
825	11606	2445
826	11619	2430
827	11633	2416
828	11646	2402
829	11661	2388
830	11675	2374
831	11689	2360
832	11703	2346
833	11714	2331
834	11726	2317
835	11740	2303
836	11754	2289
837	11767	2274
838	11781	2260
839	11795	2246
840	11808	2232
841	11821	2218
842	11834	2203
843	11847	2189
844	11860	2175
845	11872	2161
846	11883	2146
847	11897	2132
848	11909	2118
849	11921	2103
850	11935	2089
851	11947	2075
852	11960	2061
853	11973	2046
854	11986	2032
855	12001	2019
856	12015	2004
857	12027	1990
858	12043	1976
859	12057	1962
860	12072	1948
861	12085	1934
862	12099	1920
863	12113	1906
864	12128	1892
865	12144	1879
866	12172	1867
867	12186	1853
868	12200	1839
869	12211	1824
870	12225	1810
871	12237	1796
872	12252	1782
873	12265	1768
874	12278	1754
875	12291	1739
876	12306	1726
877	12320	1711
878	12333	1697
879	12345	1683
880	12360	1669
881	12374	1655
882	12387	1641
883	12400	1627
884	12413	1613
885	12426	1598
886	12439	1584
887	12452	1570
888	12465	1556
889	12477	1542
890	12489	1527
891	12502	1513
892	12515	1499
893	12528	1485
894	12542	1471
895	12554	1457
896	12569	1443
897	12584	1429
898	12597	1415
899	12609	1401
900	12622	1386
901	12637	1373
902	12650	1358
903	12664	1344
904	12675	1330
905	12691	1316
906	12703	1302
907	12718	1288
908	12732	1274
909	12745	1260
910	12760	1246
911	12773	1232
912	12788	1218
913	12804	1204
914	12820	1190
915	12834	1176
916	12849	1163
917	12862	1148
918	12875	1134
919	12888	1120
920	12902	1106
921	12918	1092
922	12931	1078
923	12944	1064
924	12958	1050
925	12972	1036
926	12987	1022
927	13001	1008
928	13015	994
929	13030	980
930	13043	966
931	13057	952
932	13071	938
933	13088	924
934	13102	910
935	13117	896
936	13133	883
937	13146	868
938	13162	855
939	13192	842
940	13206	828
941	13220	814
942	13234	799
943	13248	785
944	13260	771
945	13274	757
946	13287	743
947	13300	729
948	13314	715
949	13327	701
950	13340	687
951	13354	673
952	13367	659
953	13382	645
954	13394	631
955	13409	617
956	13421	603
957	13435	589
958	13447	574
959	13460	560
960	13473	546
961	13486	532
962	13502	518
963	13525	505
964	13545	491
965	13565	477
966	13586	463
967	13603	449
968	13631	436
969	13649	422
970	13664	408
971	13679	394
972	13692	379
973	13706	365
974	13718	351
975	13732	337
976	13744	323
977	13756	309
978	13769	295
979	13783	281
980	13798	267
981	13810	253
982	13823	239
983	13836	224
984	13849	210
985	13864	196
986	13880	182
987	13894	168
988	13908	154
989	13922	140
990	13936	126
991	13951	112
992	13966	98
993	13979	84
994	13992	70
995	14005	56
996	14020	42
997	14033	28
998	14045	14
999	14060	0
